id,Airline,Flight,AirportFrom,AirportTo,DayOfWeek,Time,Length,Delay,Source_Dest
1,CO,269,SFO,IAH,1,15,205,1,SFO-IAH
2,US,1558,PHX,CLT,5,15,222,1,PHX-CLT
3,AA,2400,LAX,DFW,7,20,165,1,LAX-DFW
4,AA,2466,SFO,DFW,3,20,195,1,SFO-DFW
5,AS,108,ANC,SEA,6,30,202,0,ANC-SEA
6,CO,1094,LAX,IAH,5,30,181,1,LAX-IAH
7,DL,1768,LAX,MSP,6,30,220,0,LAX-MSP
8,DL,2722,PHX,DTW,3,30,228,0,PHX-DTW
9,DL,2606,SFO,MSP,1,35,216,1,SFO-MSP
10,AA,2538,LAS,ORD,4,40,200,1,LAS-ORD
11,CO,223,ANC,SEA,2,49,201,1,ANC-SEA
12,DL,1646,PHX,ATL,4,50,212,1,PHX-ATL
13,DL,2055,SLC,ATL,2,50,210,0,SLC-ATL
14,AA,2408,LAX,DFW,6,55,170,0,LAX-DFW
15,AS,132,ANC,PDX,6,55,215,0,ANC-PDX
16,US,498,DEN,CLT,3,55,179,0,DEN-CLT
17,B6,98,DEN,JFK,6,59,213,0,DEN-JFK
18,CO,1496,LAS,IAH,6,60,162,0,LAS-IAH
19,DL,1450,LAS,MSP,2,60,181,0,LAS-MSP
20,CO,507,ONT,IAH,5,75,167,0,ONT-IAH
21,AS,128,FAI,SEA,4,80,206,0,FAI-SEA
22,DL,2223,ANC,SLC,6,85,270,0,ANC-SLC
23,AS,112,ANC,SEA,1,90,200,0,ANC-SEA
24,HA,17,LAS,HNL,6,100,380,1,LAS-HNL
25,US,122,ANC,PHX,4,113,327,1,ANC-PHX
26,AS,114,ANC,SEA,5,150,200,0,ANC-SEA
27,B6,766,BQN,MCO,5,240,169,0,BQN-MCO
28,B6,768,PSE,MCO,2,262,180,0,PSE-MCO
29,HA,206,HNL,OGG,7,300,36,1,HNL-OGG
30,OO,4746,BIS,MSP,3,300,85,0,BIS-MSP
31,OO,6466,IYK,LAX,4,300,53,0,IYK-LAX
32,US,1011,EWR,CLT,4,300,111,0,EWR-CLT
33,US,1983,BOS,CLT,6,300,135,0,BOS-CLT
34,HA,108,HNL,KOA,1,302,41,0,HNL-KOA
35,OO,6900,MKE,ORD,1,302,44,0,MKE-ORD
36,9E,3975,GFK,MSP,6,305,68,0,GFK-MSP
37,HA,102,HNL,ITO,5,305,49,0,HNL-ITO
38,OO,4829,OMA,MSP,1,305,75,0,OMA-MSP
39,OH,6338,GSO,ATL,4,315,93,1,GSO-ATL
40,OO,6505,LMT,SFO,4,315,95,0,LMT-SFO
41,US,149,SEA,PHX,7,315,166,1,SEA-PHX
42,US,1640,MCO,CLT,1,315,97,0,MCO-CLT
43,US,908,TPA,CLT,3,315,96,0,TPA-CLT
44,HA,106,HNL,OGG,3,317,36,0,HNL-OGG
45,9E,3854,DLH,MSP,4,320,58,1,DLH-MSP
46,DL,1276,MSP,ATL,6,320,158,0,MSP-ATL
47,OO,4651,FAR,MSP,5,320,62,1,FAR-MSP
48,CO,1585,MFE,IAH,1,325,64,0,MFE-IAH
49,CO,222,MSY,IAH,3,325,70,0,MSY-IAH
50,EV,4966,VPS,ATL,7,325,69,0,VPS-ATL
51,US,1521,BWI,CLT,3,325,83,0,BWI-CLT
52,XE,2827,MAF,IAH,4,325,85,0,MAF-IAH
53,OO,4719,LWS,SLC,1,328,87,1,LWS-SLC
54,9E,3702,RST,MSP,2,330,50,0,RST-MSP
55,9E,3775,ALB,DTW,7,330,120,1,ALB-DTW
56,9E,3886,DSM,ATL,4,330,135,1,DSM-ATL
57,AA,1711,BOS,MIA,4,330,210,0,BOS-MIA
58,CO,611,EWR,IAH,7,330,233,0,EWR-IAH
59,DL,1143,CHS,ATL,1,330,72,0,CHS-ATL
60,DL,1511,MSN,DTW,2,330,80,0,MSN-DTW
61,DL,1518,MCO,ATL,1,330,84,0,MCO-ATL
62,DL,1698,JAX,ATL,5,330,80,0,JAX-ATL
63,DL,1842,SAT,ATL,2,330,142,0,SAT-ATL
64,DL,1972,TPA,ATL,2,330,85,0,TPA-ATL
65,DL,2054,PNS,ATL,4,330,75,0,PNS-ATL
66,DL,2112,BHM,ATL,6,330,58,0,BHM-ATL
67,DL,2306,LIT,ATL,4,330,97,0,LIT-ATL
68,DL,2711,SAV,ATL,4,330,65,0,SAV-ATL
69,DL,2995,BNA,ATL,5,330,67,0,BNA-ATL
70,EV,4940,OMA,ATL,1,330,147,0,OMA-ATL
71,EV,5014,ICT,ATL,3,330,132,0,ICT-ATL
72,EV,5044,ECP,ATL,5,330,68,0,ECP-ATL
73,EV,5117,DHN,ATL,7,330,70,0,DHN-ATL
74,EV,5393,MGM,ATL,3,330,57,0,MGM-ATL
75,EV,5532,CAE,ATL,7,330,64,1,CAE-ATL
76,EV,7108,PWM,IAD,5,330,114,0,PWM-IAD
77,OO,6917,ACV,SMF,7,330,65,0,ACV-SMF
78,OO,7781,EKO,SLC,7,330,70,0,EKO-SLC
79,US,1289,BOS,PHL,2,330,84,0,BOS-PHL
80,US,1420,PHL,CLT,3,330,102,0,PHL-CLT
81,US,1732,ATL,CLT,3,330,68,1,ATL-CLT
82,US,347,PDX,PHX,7,330,148,0,PDX-PHX
83,US,913,RIC,CLT,1,330,72,0,RIC-CLT
84,XE,2263,BTR,IAH,7,330,72,1,BTR-IAH
85,XE,3024,HRL,IAH,2,330,70,0,HRL-IAH
86,YV,2605,MYR,CLT,3,330,62,0,MYR-CLT
87,HA,103,HNL,LIH,1,331,35,0,HNL-LIH
88,UA,576,SEA,DEN,5,331,159,0,SEA-DEN
89,OO,6644,TUS,DEN,4,333,112,0,TUS-DEN
90,YV,7294,SBN,ORD,5,334,46,0,SBN-ORD
91,9E,3661,CAK,DTW,3,335,76,0,CAK-DTW
92,9E,3725,TVC,DTW,6,335,75,0,TVC-DTW
93,9E,3804,CLE,ATL,7,335,128,0,CLE-ATL
94,AA,674,ORD,MIA,1,335,185,1,ORD-MIA
95,B6,728,BQN,JFK,5,335,231,0,BQN-JFK
96,CO,463,ORD,IAH,2,335,164,1,ORD-IAH
97,OH,6423,DAY,DTW,5,335,75,0,DAY-DTW
98,OO,6698,MFR,PDX,4,335,74,0,MFR-PDX
99,XE,2865,MKE,IAH,6,335,174,0,MKE-IAH
100,EV,7101,BTV,IAD,3,336,110,0,BTV-IAD
101,9E,3998,TLH,ATL,6,338,68,0,TLH-ATL
102,9E,4196,TYS,ATL,5,340,57,0,TYS-ATL
103,CO,214,DFW,IAH,3,340,59,1,DFW-IAH
104,DL,2123,BOS,DTW,4,340,144,0,BOS-DTW
105,DL,2597,RIC,ATL,7,340,109,0,RIC-ATL
106,DL,2626,FLL,ATL,5,340,118,0,FLL-ATL
107,DL,684,AUS,ATL,2,340,134,0,AUS-ATL
108,EV,5583,CHA,ATL,7,340,47,0,CHA-ATL
109,MQ,4563,CMH,LGA,3,340,100,0,CMH-LGA
110,XE,2616,LRD,IAH,7,340,66,1,LRD-IAH
111,XE,3006,BRO,IAH,4,340,70,0,BRO-IAH
112,XE,3015,CRP,IAH,7,340,59,1,CRP-IAH
113,XE,5970,LAN,ORD,1,340,71,0,LAN-ORD
114,9E,3659,ALB,ATL,2,345,183,0,ALB-ATL
115,9E,3862,SAT,MEM,1,345,119,1,SAT-MEM
116,9E,3949,PVD,DTW,4,345,135,1,PVD-DTW
117,9E,4143,FWA,DTW,5,345,59,0,FWA-DTW
118,AA,1141,JFK,MIA,5,345,190,0,JFK-MIA
119,AA,1297,DFW,MIA,7,345,160,0,DFW-MIA
120,AA,2320,DFW,ORD,2,345,140,0,DFW-ORD
121,CO,1677,PHL,IAH,4,345,219,0,PHL-IAH
122,CO,1727,BWI,IAH,5,345,208,0,BWI-IAH
123,CO,240,AUS,IAH,6,345,55,0,AUS-IAH
124,CO,278,SAT,IAH,1,345,54,0,SAT-IAH
125,CO,633,LGA,IAH,3,345,235,0,LGA-IAH
126,DL,1095,OKC,ATL,2,345,127,0,OKC-ATL
127,DL,1112,PIT,ATL,7,345,131,1,PIT-ATL
128,DL,1506,LAX,DTW,5,345,270,0,LAX-DTW
129,DL,1580,SFO,DTW,4,345,270,0,SFO-DTW
130,DL,2320,PBI,ATL,7,345,113,0,PBI-ATL
131,DL,2481,ORF,ATL,7,345,120,0,ORF-ATL
132,DL,2710,DFW,ATL,6,345,132,0,DFW-ATL
133,DL,2939,DCA,ATL,4,345,120,1,DCA-ATL
134,EV,5142,AEX,ATL,2,345,119,0,AEX-ATL
135,EV,5218,SYR,ATL,6,345,158,0,SYR-ATL
136,EV,5233,BTR,ATL,6,345,97,0,BTR-ATL
137,EV,5362,SHV,ATL,1,345,123,1,SHV-ATL
138,EV,5501,VLD,ATL,2,345,62,0,VLD-ATL
139,OH,6264,BDL,CVG,6,345,133,0,BDL-CVG
140,OH,6549,MFE,MEM,3,345,118,0,MFE-MEM
141,OO,6407,FAT,SFO,5,345,45,0,FAT-SFO
142,OO,6647,BZN,DEN,7,345,107,0,BZN-DEN
143,OO,6925,PHX,LAX,1,345,85,0,PHX-LAX
144,OO,6964,RDM,PDX,6,345,58,0,RDM-PDX
145,US,1423,DCA,CLT,5,345,85,0,DCA-CLT
146,XE,2919,LFT,IAH,5,345,58,0,LFT-IAH
147,XE,5951,CAK,ORD,1,345,95,0,CAK-ORD
148,OO,6480,IPL,YUM,6,346,34,0,IPL-YUM
149,OO,6843,EAU,CWA,4,346,32,0,EAU-CWA
150,UA,756,SFO,DEN,7,348,158,0,SFO-DEN
151,OO,3099,OMA,MKE,3,349,81,1,OMA-MKE
152,9E,3718,ERI,DTW,1,350,65,1,ERI-DTW
153,B6,107,BUF,JFK,6,350,83,0,BUF-JFK
154,DL,1248,IAH,ATL,7,350,130,1,IAH-ATL
155,DL,1985,DAY,ATL,7,350,114,0,DAY-ATL
156,DL,2387,MKE,ATL,6,350,129,1,MKE-ATL
157,DL,2405,PHL,DTW,6,350,115,0,PHL-DTW
158,DL,734,MCI,ATL,3,350,129,0,MCI-ATL
159,EV,5165,AGS,ATL,2,350,60,0,AGS-ATL
160,FL,331,PHL,ATL,4,350,145,0,PHL-ATL
161,MQ,2734,ABI,DFW,6,350,50,0,ABI-DFW
162,MQ,2796,GRR,DFW,3,350,175,0,GRR-DFW
163,MQ,3014,FAT,LAX,5,350,65,0,FAT-LAX
164,MQ,3332,LBB,DFW,2,350,70,0,LBB-DFW
165,MQ,3632,CLT,MIA,1,350,120,1,CLT-MIA
166,MQ,3781,LIT,ORD,7,350,105,0,LIT-ORD
167,MQ,3842,MSP,ORD,5,350,95,1,MSP-ORD
168,MQ,3892,PHL,ORD,7,350,140,0,PHL-ORD
169,MQ,4013,LEX,ORD,7,350,95,0,LEX-ORD
170,OH,6498,ORD,ATL,3,350,128,1,ORD-ATL
171,OH,6629,GRR,DTW,7,350,61,0,GRR-DTW
172,9E,4391,MBS,DTW,1,351,59,0,MBS-DTW
173,HA,218,HNL,KOA,4,352,41,0,HNL-KOA
174,OO,6921,MOD,SFO,6,352,38,0,MOD-SFO
175,9E,3935,EWR,DTW,6,355,130,1,EWR-DTW
176,9E,3955,LBB,MEM,7,355,119,0,LBB-MEM
177,9E,4200,TYS,CVG,3,355,64,0,TYS-CVG
178,9E,4274,AMA,MEM,5,355,120,0,AMA-MEM
179,B6,735,JFK,BQN,5,355,215,0,JFK-BQN
180,DL,377,BDL,DTW,6,355,130,0,BDL-DTW
181,HA,202,HNL,ITO,7,355,49,0,HNL-ITO
182,MQ,2864,SGF,DFW,3,355,90,0,SGF-DFW
183,OH,6262,OMA,DTW,3,355,137,1,OMA-DTW
184,OH,6414,AZO,DTW,5,355,58,0,AZO-DTW
185,OO,7014,RDM,SFO,6,355,101,0,RDM-SFO
186,9E,3668,TYS,LGA,6,360,131,0,TYS-LGA
187,9E,3724,ABE,DTW,1,360,115,0,ABE-DTW
188,9E,3755,SWF,DTW,4,360,120,0,SWF-DTW
189,9E,3757,BGM,DTW,1,360,103,0,BGM-DTW
190,9E,3795,SBN,CVG,4,360,60,1,SBN-CVG
191,9E,3845,AVP,DTW,7,360,105,0,AVP-DTW
192,9E,3850,FNT,DTW,3,360,48,0,FNT-DTW
193,9E,3871,BHM,DTW,6,360,125,0,BHM-DTW
194,9E,3875,GSP,DTW,3,360,115,0,GSP-DTW
195,9E,3893,FWA,ATL,1,360,115,0,FWA-ATL
196,9E,3923,IAH,MEM,4,360,95,0,IAH-MEM
197,9E,3957,ATW,MSP,6,360,76,1,ATW-MSP
198,9E,3985,DSM,MEM,1,360,100,1,DSM-MEM
199,9E,4008,BTV,JFK,5,360,100,0,BTV-JFK
200,9E,4026,ORF,DTW,1,360,125,1,ORF-DTW
201,9E,4058,LAN,DTW,4,360,50,0,LAN-DTW
202,9E,4239,ITH,DTW,2,360,97,1,ITH-DTW
203,9E,4272,ECP,MEM,1,360,90,0,ECP-MEM
204,9E,4324,DCA,JFK,2,360,82,0,DCA-JFK
205,AA,1056,TUL,DFW,1,360,70,0,TUL-DFW
206,AA,1140,SAT,DFW,1,360,65,0,SAT-DFW
207,AA,1143,TPA,DFW,1,360,170,0,TPA-DFW
208,AA,1215,DCA,DFW,4,360,210,0,DCA-DFW
209,AA,1225,COS,DFW,1,360,120,0,COS-DFW
210,AA,1406,OMA,DFW,3,360,125,0,OMA-DFW
211,AA,1584,LAS,DFW,1,360,160,0,LAS-DFW
212,AA,1596,PDX,DFW,3,360,225,0,PDX-DFW
213,AA,1602,ELP,DFW,4,360,100,0,ELP-DFW
214,AA,1615,BDL,DFW,1,360,260,0,BDL-DFW
215,AA,1631,MSY,MIA,4,360,105,0,MSY-MIA
216,AA,1670,AUS,ORD,7,360,165,0,AUS-ORD
217,AA,1755,ABQ,DFW,2,360,105,0,ABQ-DFW
218,AA,1839,OKC,DFW,5,360,60,0,OKC-DFW
219,AA,1843,BOS,ORD,1,360,175,0,BOS-ORD
220,AA,1878,SMF,DFW,5,360,205,0,SMF-DFW
221,AA,1921,EWR,MIA,3,360,185,0,EWR-MIA
222,AA,1965,STL,DFW,2,360,115,0,STL-DFW
223,AA,1994,IAH,MIA,5,360,135,0,IAH-MIA
224,AA,2037,BNA,MIA,1,360,135,1,BNA-MIA
225,AA,2060,SEA,ORD,4,360,245,1,SEA-ORD
226,AA,2103,IAD,MIA,7,360,160,0,IAD-MIA
227,AA,2203,LGA,MIA,5,360,190,1,LGA-MIA
228,AA,2299,DTW,MIA,6,360,190,0,DTW-MIA
229,AA,2301,ORD,DFW,3,360,150,1,ORD-DFW
230,AA,445,DCA,ORD,1,360,125,0,DCA-ORD
231,AA,526,SFO,DFW,1,360,215,0,SFO-DFW
232,AA,528,LAX,MIA,2,360,280,1,LAX-MIA
233,AA,548,LAX,ORD,6,360,240,0,LAX-ORD
234,AA,552,SFO,MIA,1,360,315,1,SFO-MIA
235,AA,654,PHX,DFW,5,360,130,0,PHX-DFW
236,AA,708,AUS,DFW,2,360,60,0,AUS-DFW
237,AS,454,SEA,LAX,2,360,150,0,SEA-LAX
238,AS,55,ANC,FAI,5,360,58,0,ANC-FAI
239,AS,600,SEA,LAS,6,360,143,0,SEA-LAS
240,AS,62,FAI,ANC,4,360,70,0,FAI-ANC
241,AS,81,SEA,ANC,7,360,219,0,SEA-ANC
242,B6,1001,BOS,JFK,7,360,71,1,BOS-JFK
243,B6,1133,SYR,JFK,5,360,85,0,SYR-JFK
244,B6,1224,RDU,BOS,7,360,101,1,RDU-BOS
245,B6,155,JFK,MCO,1,360,168,0,JFK-MCO
246,B6,162,RSW,JFK,7,360,156,0,RSW-JFK
247,B6,1695,BOS,MCO,2,360,192,0,BOS-MCO
248,B6,19,BTV,JFK,7,360,84,0,BTV-JFK
249,B6,247,OAK,LGB,5,360,77,0,OAK-LGB
250,B6,370,FLL,LGA,5,360,159,1,FLL-LGA
251,B6,371,LGA,FLL,5,360,174,0,LGA-FLL
252,B6,442,TPA,BOS,2,360,167,0,TPA-BOS
253,B6,45,ROC,JFK,4,360,83,0,ROC-JFK
254,B6,52,MCO,JFK,3,360,141,0,MCO-JFK
255,B6,68,FLL,JFK,3,360,160,1,FLL-JFK
256,B6,701,JFK,SJU,7,360,218,0,JFK-SJU
257,CO,1045,CLE,IAH,6,360,190,0,CLE-IAH
258,CO,1428,CLT,IAH,5,360,180,0,CLT-IAH
259,CO,1617,MCI,IAH,2,360,118,1,MCI-IAH
